State,Year,County,Total,Commissioned Male ,Commissioned Female ,Civilian Male ,Civilian Female ,Arson,Arsons Arrests,Juvenile Arsons Arrests,Aggravated Assault,Aggravated Assaults Arrests,Juvenile Aggravated Assault Arrests,Rape,Rape Arrests,Juvenile Rape Arrests,Burglary,Burglary Arrests,Juvenile Burglary Arrests,Murder,Murder Arrests,Juvenile Murder Arrests,Robbery,Robbery Arrests,Juvenile Robbery Arrests,Drug Violation Arrests,Juvenile Drug Violation Arrests,Total Arrests,Total Juvenile Arrests,Juvenile Theft Arrests,Theft Arrests,Theft,Population,Commissioned Total,Civilian Total,Total Employees,Total Population,Female Population (0-11),Female Population (12-17),Female Population (18-39),Female Population (40+),Total Female Population,Male Population (0-11),Male Population (12-17),Male Population (18-39),Male Population (40+),Total Male Population,Animal Cruelty,Bribery,Destruction of Property,Drug Violation,Extortion,Counterfeiting or Forgery,Gambling Violation,Human Trafficking,Kidnapping,Man Slaughter,Non Forcibly Sex,Pornography,Total Property Crime,Prostitution,Total Person Crime,Total Societal Crime,No Contact Order Violation,Weapon Violation,Other Crimes Arrests,Animal Cruelty Arrests,Bribery Arrests,Destruction of Property Arrests,Extortion Arrests,Counterfeiting or Forgery Arrests,Gambling Violation Arrests,"Group B offense Arrests (driving under influence,  liquor violation etc)",Hack or Computer Invasion Arrests,Human Trafficking Arrests,Kidnapping Arrests,Manslaughter Arrests,Non Forcibly Sex Arrests,Pornography Arrests,Prostitution Arrests,No Contact Order Violation Arrests,Weapon Violation Arrests,Aggravated Assaults Sentenced,Burglary Sentenced,Drug Violation Sentenced,Manslaughter Sentenced,Murder Sentenced,Other Crimes Sentenced,Other Property Crimes Sentenced,Robbery Sentenced,Sex Crime Sentences,Total Sentenced,Unknown Crimes Sentenced,Juvenile Other Felony Crimes Sentenced,Juvenile Animal Cruelty Arrests,Juvenile Bribery Arrests,Juvenile Destruction of Property Arrests,Juvenile Extortion Arrests,Juvenile Counterfeiting or Forgery Arrests,"Juvenile Group B offense Arrests (driving under influence,  liquor violation etc)",Juvenile Hack or Computer Invasion Arrests,Juvenile Kidnapping Arrests,Juvenile Manslaughter Arrests,Juvenile Non Forcibly Sex Arrests,Juvenile Pornography Arrests,Juvenile Prostitution Arrests,Juvenile No Contact Order Violation Arrests,Juvenile Weapon Violation Arrests,FIPS Code
Washington,2007,COLUMBIA,180,9,0,1,3,1,0,0,2,2,0,0,0,0,33,7,0,0,0,0,0,0,0,18,2,154,24,0,12,144,4100,9,4,13,4100,289,171,422,1213,2097,263,180,442,1119,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,5,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53013
Washington,2020,LINCOLN,289,18,0,7,6,7,5,0,67,39,4,7,3,1,39,7,1,0,0,0,0,0,0,19,5,185,18,4,20,99,11050,18,13,31,11050,734,434,1002,3315,5484,748,416,1005,3397,5566,0,0,35,24,0,1,0,0,1,0,3,1,181,0,78,30,0,5,0,0,0,6,0,0,0,78,0,0,1,0,1,2,0,0,4,3,0,1,0,0,1,5,1,1,12,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,53043
Washington,2000,DOUGLAS,1118,38,2,5,10,11,0,0,33,18,0,9,3,0,254,28,0,1,1,0,4,1,0,91,0,1032,0,0,112,806,31985,40,15,55,32603,3085,1627,4480,7256,16448,3188,1702,4466,6799,16155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,9,0,0,2,11,1,2,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53017
Washington,2017,KITTITAS,2351,80,7,24,27,5,2,0,321,177,23,29,9,0,146,15,5,1,1,0,6,4,0,129,14,1082,81,15,149,1014,44730,87,51,138,44730,2598,1825,7760,9660,21844,2765,1701,8673,9747,22886,0,0,434,227,1,27,0,0,1,0,1,8,1633,0,456,262,103,27,0,0,0,32,1,3,0,496,0,0,0,0,0,0,0,58,6,13,6,29,0,0,5,24,1,6,84,0,0,0,0,3,0,0,17,0,1,0,0,1,0,2,0,53037
Washington,2020,GARFIELD,90,6,0,2,5,0,0,0,40,3,0,2,0,0,4,0,0,0,0,0,0,0,0,2,0,117,0,0,0,16,2225,6,7,13,2225,170,101,142,745,1159,119,86,159,702,1066,0,0,10,9,0,0,0,0,0,0,0,0,30,0,43,17,1,8,0,0,0,3,0,0,0,108,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53023
Washington,2013,FRANKLIN,4879,98,4,2,11,23,2,1,941,517,84,115,11,5,446,32,26,2,0,0,31,12,0,184,61,2452,361,55,344,1764,84800,102,13,115,84800,9691,4227,13367,13823,41110,10074,4491,14658,14467,43690,0,0,809,326,7,51,0,0,34,1,1,4,3131,4,1332,416,238,82,0,0,0,99,2,17,0,1043,0,0,20,0,5,0,0,142,22,49,7,31,0,0,6,22,6,14,137,2,0,0,0,28,0,0,83,0,4,0,3,1,0,6,4,53021
Washington,2001,KLICKITAT,546,30,1,11,21,1,0,0,35,24,0,3,3,0,124,9,0,2,1,0,1,0,0,56,0,713,0,0,30,380,19300,31,32,63,19300,1609,960,2250,4852,9669,1604,998,2263,4766,9631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,22,0,2,1,3,0,4,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53039
Washington,1990,COLUMBIA,189,8,0,1,4,1,0,0,0,0,0,0,0,0,47,7,0,0,0,0,0,0,0,5,0,99,0,0,9,141,3830,8,5,13,4024,300,171,526,1030,2027,326,206,554,911,1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53013
Washington,2013,LEWIS,4101,88,5,1,24,14,2,4,814,519,95,66,21,4,480,91,6,1,1,0,23,13,1,229,26,2574,256,38,336,1530,76200,93,25,118,76200,5375,2891,9319,20506,38091,5648,3004,9943,19516,38109,0,0,438,394,1,47,0,0,17,0,6,3,2533,1,1127,441,223,43,0,0,0,67,1,19,0,1121,0,0,15,0,1,2,0,113,23,44,13,73,0,3,25,55,3,15,234,3,0,0,0,24,0,0,57,0,0,0,0,0,0,1,0,53041
Washington,1998,DOUGLAS,1321,36,2,6,11,6,0,0,40,22,0,10,3,0,271,30,0,0,0,0,4,0,0,65,0,1021,0,0,253,990,30810,38,17,55,32043,3103,1592,4469,6941,16106,3210,1684,4525,6516,15937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,16,1,3,1,8,1,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53017
